Title,Address,Price,Agency,Phone
1 bedroom apartment for sale,"Trinity Road, Wandsworth, London, SW18","£475,000",Carter Jonas - Wandsworth, 020 8022 6807
4 bedroom terraced house for sale,"Elsenham Street, Southfields","£1,400,000",Kinleigh Folkard & Hayward - Southfields Sales, 020 8033 2449
2 bedroom flat for sale,"Devonshire Road, Forest Hill","£525,000",Kinleigh Folkard & Hayward - Forest Hill, 020 8022 6782
2 bedroom flat for sale,"Devonshire Road, Forest Hill","£550,000",Kinleigh Folkard & Hayward - Forest Hill, 020 8022 6782
2 bedroom flat for sale,"Sutherland Avenue, Maida Vale","£1,095,000",Kinleigh Folkard & Hayward - St John's Wood Sales, 020 8033 2447
2 bedroom flat for sale,"Effra Road, Wimbledon","£550,000",Kinleigh Folkard & Hayward - Wimbledon Sales, 020 8033 2441
2 bedroom flat for sale,"Barry Road, East Dulwich","£600,000",Kinleigh Folkard & Hayward - East Dulwich Sales, 020 8033 2466
4 bedroom maisonette for sale,"Halesworth Road, Lewisham","£585,000",Mark Beaumont - London & Kent, 020 8852 5000
1 bedroom ground floor flat for sale,"Courthill Road, London","£295,000",Mark Beaumont - London & Kent, 020 8852 5000
3 bedroom detached house for sale,"Telegraph Hill, Hampstead, London, NW3","£4,950,000",Bargets - Regents Park, 020 8022 7276
2 bedroom apartment for sale,"3 Fold House, Folio Gardens, London, WC1X","£1,675,000","Savills - London, Margaret Street, New Homes", 020 8022 6246
5 bedroom detached house for sale,"Cherry Close, Banstead","£750,000",Richard Saunders and Company - Banstead, 01737 483768
4 bedroom terraced house for sale,"Burford Road, London","£550,000",haart Estate Agents - East Ham, 020 8022 6672
1 bedroom maisonette for sale,"Trowbridge Road, Romford","£230,000",haart Estate Agents - Harold Wood, 01708 573651
2 bedroom flat for sale,"Albion Riverside Building, 8 Hester Road, London, SW11","£1,300,000",Knight Frank - Battersea & Riverside, 020 8022 7422
