title, description, features, location, date_listed,price
LUXURY BUILDER FLOOR IN SURAJKUND FARIDABAD,"- 425 sq yd PLOT NORTH EAST FACING - COMPLETION CERTIFICATE RECEIVED - 1km from DELHI  - NEAREST UPCOMING METRO STATION 1KM AWAY (PUL PEHLADPUR DELHI) - SCHOOLS HOSPITAL UNIVERSITY NEARBY - ALL ITALIAN MARBLE AND KOHLER BATHROOM FITTINGS - POWER BACK UP AND WATER BACK UP  - GATED SOCIETY AND FULLY SECURED - 15-20 minutes drive from CR PARK, NEHRU PLACE , OKHLA ,ALAKNANDA and SAKET.",4 Bds - 4+ Ba - 3000 ft2,"Chittaranjan Park, Delhi, Delhi, India",2022-07-21T11:07:10+0000,"₹ 2,50,00,000"
"2BHK spacious flats , 100 % bank finance , 2.30 lac discount offer","2/3BHK flats , 2 acres covered campus , 132 flats , 90 families living , 100 % bank finance facility , 2.30 lacs discount offer , amenities like garden , gym , club house , indoor outdoor sports cricket pitch , badminton cort , basketball cort , pool table , table tennis , radha krishna ji temple , car washing zone , 24 hr secuirty gaurds , cctv cameras , all buildings interconnected , 24 hr water .",2 Bds - 2 Ba - 1150 ft2,"Changorabhata, Raipur, Chhattisgarh, India",2022-06-29T16:53:12+0000,"₹ 30,50,000"
2BHK Flats in 23.50LACS with Furnished offers at Mohali,2BHK Flats For Sale At Kharar Mohali  Connectivity with 3 Main Highways  # Free Luxury Gifts On Saturday/Sunday Booking  # Modern Spacious Kitchen with Luxury Fittings and Finishing  # Spacious Bedrooms with Luxury Attached Washrooms  # Spacious Balconies  # Complete Wooden Work  DIRECT CONTACT FOR MORE INFORMATION.,2 Bds - 2 Ba - 965 ft2,"Sector 117, Mohali, Punjab, India",2022-06-13T10:47:03+0000,"₹ 23,50,000"
Individual house,2 bhk.  Kitchen with dining Wood works False ceiling Cooling tiles 3 phase current.  Fully gated community Concrete roads Solar lights Loan facilities available Cooling tiles Direct owner Onroad side property Near by bus stop,2 Bds - 2 Ba - 1135 ft2,"Anna Nagar Near Trichy City, Tiruchirappalli, Tamil Nadu, India",2022-07-24T16:46:14+0000,"₹ 40,00,000"
2 bhk flat for sale at Dwarka mor,Modular switches  Fan facility  Lift facility  Covered parking  24 hours water supply  24 hours electricity supply Gas pipeline  Loan facility upto 90% Registry facility  Close to metro station,2 Bds - 2 Ba - 570 ft2,"Nawada, Delhi, Delhi, India",2022-07-24T16:46:13+0000,"₹ 27,00,000"
Specious 2 bhk flat for sale,"Modular switches  Fan facility  Lift facility  Covered parking  24 hours water supply  24 hours electricity supply Gas pipeline  Loan facility upto 90% Registry facility  Close to metro, market,school,etc.",2 Bds - 2 Ba - 550 ft2,"Nawada, Delhi, Delhi, India",2022-07-24T16:46:13+0000,"₹ 26,50,000"
2 Bhk flat kiraye ke paise ab apna khud ka ghar,2 bhk flat area approx 800 sf covered parking loan facility also available with subsidy upto 2.65 lakhs Affordable price good location with covered parking loan facility also available with subsidy all school like DDPS REYAN INGRHAM DELHI MARCH THOMA CPA convent school Good connectivity with NH24 to 58 good connectivity with metro or Rapid rail reliance fresh Bikaner Haldiram CNG pump Petrol pump Park Signature Mall Dominos on very walking distance city park and public transport on very walking distance interested person please call Gunnikaproperties,2 Bds - 2 Ba - 800 ft2,"Govindpuram, Ghaziabad, Uttar Pradesh, India",2022-07-24T16:46:13+0000,"₹ 16,50,000"
2 BHK flat available with huge space kiraye se azadi,2 Bhk flat for sale area 800sf in Govindpuram Ghaziabad only  limited flats available covered parking  loan facility available with loan subsidy upto 3 lacs 22 feet road public transport all school shopping center mall on very walking distance good location rapid metro distance only 2.5 KM  NH24 distance only 3 Km near by metro distance only 5 Km red line good connectivity NH58 to NH24   Interested person please call,2 Bds - 2 Ba - 800 ft2,"Govindpuram, Ghaziabad, Uttar Pradesh, India",2022-07-24T16:46:13+0000,"₹ 16,75,000"
Ready to move 2 bhk available in prime location,Hurry Up  Book your dream house in a gated society in sector 127.  On road  Gated  Modular kitchen  Cupboards  Park  Market nearby  Bus stand  Railway station Zym Hospital  Pls call for more details,2 Bds - 2 Ba - 950 ft2,"Sector 127, Mohali, Punjab, India",2022-07-24T16:46:12+0000,"₹ 32,50,000"
Muvattupuzha 1.20 cr --3 kilometer distance from muvattupuzha,"മുവാറ്റുപുഴ 45 ലക്ഷം  26 സെന്റ് സ്ഥലം 2700 sqftവീട് 4 ബെഡ്‌റൂം  3 വർഷം പഴക്കം   വീടിന്റ ഫ്ലോറിങ് മൊത്തം ടൈൽ  കബോർഡ് വർക്ക്‌, വാതിൽ എല്ലാം തിർത്തിട്ടുണ്ട്    മുറ്റത്തു തന്നെ വറ്റാത്ത കിണർ വെള്ളം  ആധുനിക രീതിയിൽ ഫർണിഷ് ചെയ്ത കിച്ചനും ബെഡ്‌റൂം.  ആവശ്യം ഉണ്ടെങ്കിൽ ലോൺ അറേഞ്ച് ചെയ്ത് തരുന്നത് ആണ്  വീടിനെ കുറിച്ച് കൂടുതൽ അറിയാൻ വിളിക്കു. ബിൽസൺ 9️⃣9️⃣4️⃣6️⃣2️⃣0️⃣7️⃣7️⃣0️⃣5️⃣ 9️⃣0️⃣7️⃣2️⃣5️⃣3️⃣5️⃣3️⃣5️⃣3️⃣",4 Bds - 4 Ba - 2700 ft2,"Muvattupuzha, Muvattupuzha, Kerala, India",2022-07-24T16:46:11+0000,"₹ 1,30,00,000"
"6 bhk House for sale at Changampuzha park, Ernakulam",=> 6 bhk  => Used House => 20 Cent Land => Fully compounded => Price 4 cr and 60 lakhs => Negotiable in demands => Contact - 9387313 triple 8,4+ Bds - 4+ Ba - 4600 ft2,"Changampuzha Nagar, Kochi, Kerala, India",2022-07-24T16:46:11+0000,"₹ 4,60,00,000"
4bhk corner flat in  supertech,"4bhk flat  Park facing  Corner  5th, top floor",4 Bds - 4 Ba - 2568 ft2,"Delhi Road, Moradabad, Uttar Pradesh, India",2022-07-24T16:46:11+0000,"₹ 66,75,000"
3 bhk flat in royal green,Delhi road moradabad,3 Bds - 3 Ba - 2006 ft2,"Delhi Road, Moradabad, Uttar Pradesh, India",2022-07-24T16:46:11+0000,"₹ 66,00,000"
4.50cent 2100sqft 3Bedroom,"•4.50cent  •2100sqft, •3BHK (all bath attached)Good    Construction home. •Fully vasthu based architect designed house. •Living room&Dining Area  •Modular kitchen with work area. •2 Car Parking,  , water source  pipeline. •Bathroom fittings, electrical items are  Branded, cera. •Price 88 lakh negotiable. •Building is constructed with best quality materials. •CC tv facilities, solar facilities, rain water facilities available. •75%loan availability on eligible buyers.  House Located at Near Vazhayila sixth stone Jn. Land Area – 4.50 Cent  Build up Area – 2100 Sqft.  Bedrooms – 3Bedrooms Attached. East Facing, Car parking  Trivandrum Central Jn - 10 Km. Peroorkada - 2Km. Bus stop 300meter  75% Home Loan Available.",3 Bds - 3 Ba - 0 ft2,"Peroorkada, Thiruvananthapuram, Kerala, India",2022-07-24T16:46:10+0000,"₹ 88,00,000"
1350sqft new house at narikkal,1350sqft 3bhk 3.2 cent,3 Bds - 3 Ba - 1350 ft2,"Kazhakoottam, Thiruvananthapuram, Kerala, India",2022-07-24T16:46:10+0000,"₹ 52,00,000"
1 bhk Q block mohan garden luxurious flat near to metro.,Modular kitchen with chimney. Modular switches. Havells switches. 10 foot road. Crompton fans. Tiles work. Washable paint. Washable wallpaper. Washable texture. Ready to move. Covered parking. Loan facility 80 to 90% Registry facility,1 Bds - 1 Ba - 370 ft2,"Bhagwati Garden, Delhi, Delhi, India",2022-07-24T16:46:10+0000,"₹ 15,35,000"
"Kothamangalm, kuthukuzhi",700 m from NH 1 attached bathroom 50 cent land available Well water available Bank loan available For further details please call me Mr Roy kv,3 Bds - 2 Ba - 1500 ft2,"Nellimattom, Eramalloor, Kerala, India",2022-07-24T16:46:10+0000,"₹ 1,00,00,000"
New House For Sale in Vijayawada Eluru Road,"AP CRDA Gated Community Project   Open Lands, Houses Villas With Club House   Entrance Arch With Security Application   7 Feet Compound Wall With Solar Fencing   40 Feet Black Top Roads with Avenue Plantation   Underground Electricity n Drainage System  Rain Harvesting Pints and STP System   3 Phase Electricity System n Water Tank   Theme Parks n Avengers Parks for Kids   Landscaped Sitting Space with Sports Court  Swimming Pool, Supermarket, Function Hall   Full Vaastu Compliant Project   Bank Loan Facility  Available",2 Bds - 2 Ba - 1150 ft2,"Poranki, Vijayawada, Andhra Pradesh, India",2022-07-24T16:46:02+0000,"₹ 55,00,000"
Ready to move proper Gated colony,Project name - Yash Residency   22.5front / 45depth  Total 1000 sqrft land area  1500 covered area 3BHK with Modular kitchen n chimney with gated community  Total 44units  500mtr from shaheed path 1.5km from Medanta hospital 2km from LULU mall,2 Bds - 2 Ba - 1550 ft2,"Diptiganj, Lucknow, Uttar Pradesh, India",2022-07-24T16:43:46+0000,"₹ 68,00,000"
2400 sqft  House For Sale at Kakkanad Near Bharat Matha College,">> Kakkanad, Near Bharat Matha College >> 4 cent land >> 2400 sqft >> 4 BHK >> Well water and Corporation water >> Asking Price 1 CR  >> Negotiable >> Call 9387313_-888.",4 Bds - 4 Ba - 2400 ft2,"Kakkanad, Kochi, Kerala, India",2022-07-24T16:43:26+0000,"₹ 1,00,00,000"
PHASE 1 LIG,"A house for  sale at a prime location. Its only 0.5 kms away frm New Bustand. And 1 k.m away from new opened P.V.R cinema and only 5 minutes driving distance from a famous Urban estate Phase 2 and phase 1 Market.And also there are now three hospitals nearby like the Vardhman hospital in phase 2,upcoming Perk hospital opp. New bustand and Aggarwal hospital near phase 1 and many more.So if someone is interested , than contact me.",3 Bds - 2 Ba - 940 ft2,"Dealwal 75, Patiala, Punjab, India",2022-07-16T07:37:30+0000,"₹ 29,50,000"
"1830Sq ft High-Rise Luxury Apartment on Patiala Road, Zirakpur",> 3BHK+Servant High-rise apartment  > two sides open 3 BHK with 4 washroom > 1830 Sqft Luxury Apartments > Ultra Luxury Project with Mivan Construction. > Prime Location Zirakpur > Dual-core Project. > 2 Lifts plus 2 Emergency Staircases. > Club House with luxury features & Amenities. > Individual outdoor sports arena. > All Park Facing units. > 7.5-10 KVA Power backup. > Two covered car parking. > Fully Automated Home & Much more. > Flexi Payment Plan > Fully automated house > Complete kitchen appliances,3 Bds - 4 Ba - 1830 ft2,"Sector 35C, Chandigarh, Chandigarh, India",2022-07-21T10:42:58+0000,"₹ 1,07,97,000"
